Sample	group
sample10A.genes.results	2
sample10B.genes.results	2
sample10C.genes.results	2
sample9A.genes.results	1
sample9B.genes.results	1
sample9C.genes.results	1
sample14A.genes.results	2
sample14B.genes.results	2
sample14C.genes.results	2
sample13A.genes.results	1
sample13B.genes.results	1
sample13C.genes.results	1
sample18A.genes.results	2
sample18B.genes.results	2
sample18C.genes.results	2
sample17A.genes.results	1
sample17B.genes.results	1
sample17C.genes.results	1
sample22A.genes.results	2
sample22B.genes.results	2
sample22C.genes.results	2
sample21A.genes.results	1
sample21B.genes.results	1
sample21C.genes.results	1
sample2A.genes.results	2
sample2B.genes.results	2
sample2C.genes.results	2
sample1A.genes.results	1
sample1B.genes.results	1
sample1C.genes.results	1
sample6A.genes.results	2
sample6B.genes.results	2
sample6C.genes.results	2
sample5A.genes.results	1
sample5B.genes.results	1
sample5C.genes.results	1