	1v2 traditional + specific	1v2 specific only	1v2 traditional + generic	1v3 traditional + specific	1v3 specific only	1v3 traditional + generic	1v4 traditional + specific	1v4 specific only	1v4 traditional + generic	1v5 traditional + specific	1v5 specific only	1v5 traditional + generic
0	PA2664	PA5015	PA4587	PA2664	PA4770	PA0179	PA2664	PA2760	PA2015	PA2664		PA2815
1	PA3392	PA4753	PA0999	PA1985	PA1562	PA3841	PA1985	PA0045	PA2013	PA3392		PA5550
2	PA0752	PA2111	PA2629	PA3392		PA2194	PA3392	PA0783	PA3189	PA2849		PA3904
3	PA3872	PA3537	PA5173	PA3183		PA1708	PA0179	PA1999	PA0105	PA3183		PA4980
4	PA3919	PA3364	PA5425	PA3872		PA2193	PA3872		PA0517	PA1924		PA2765
5	PA4920	PA3366	PA3610	PA3334		PA3049	PA3334		PA0513	PA3848		PA3161
6	PA3914	PA3363	PA0997	PA5167		PA2747	PA4920		PA0516	PA0130		PA3040
7	PA3190	PA3009	PA2193	PA4496		PA3876	PA5167		PA1555	PA5535		PA0293
8	PA2195	PA0492	PA1000	PA4726		PA0586	PA4496		PA2366	PA4427		PA5372
9	PA3967	PA4390	PA1561	PA3329		PA3278	PA3329		PA2862	PA1863		PA0045
10	PA0494	PA1579	PA4131	PA2265		PA5546	PA3972		PA0518	PA2688		PA5110
11	PA2113	PA2002	PA0517	PA0587		PA2247	PA0587		PA3188	PA3915		PA0323
12	PA3870	PA2110	PA0513	PA3684		PA1557	PA1070		PA1183	PA1925		PA2114
13	PA3187	PA1768	PA2009	PA1250		PA5481	PA0130		PA1556	PA4064		PA2622
14	PA0753	PA3892	PA1555	PA1070		PA2014	PA1175		PA3924	PA4836		PA3578
15	PA3189	PA1140	PA2381	PA4876		PA1657	PA3915		PA2365	PA2913		PA2007
16	PA4658	PA3979	PA4770	PA1175		PA1707	PA4661		PA1174	PA1183		PA0090
17	PA3876	PA0125	PA1228	PA3915		PA1718	PA3250		PA0872	PA1516		PA4272
18	PA2321	PA5332	PA0515	PA4661		PA4880	PA2634		PA0523	PA4837		PA3407
19	PA3877	PA0751	PA1342	PA2634		PA2250	PA3723		PA2250	PA1843		PA0521
20	PA0516	PA3871	PA4133	PA3723		PA0315	PA1001		PA0122	PA5534		PA3393
21	PA3894	PA1340	PA2014	PA2223		PA0567	PA0897		PA2248	PA3335		PA3767
22	PA1634		PA0518	PA1001		PA2746	PA0892			PA3875		PA1774
23	PA0524		PA1556	PA0743		PA2248	PA0525			PA5440		PA1914
24	PA1337		PA0519	PA3479		PA1190	PA0743			PA2663		PA3479
25	PA3874		PA1657	PA1073			PA3479			PA2434		PA5404
26	PA2112		PA2007	PA3875			PA3335			PA3600		PA0484
27	PA2001		PA1001	PA0795			PA1073			PA3789		PA0047
28	PA3915		PA0858	PA0484			PA3875			PA4065		PA0423
29	PA0866		PA5172	PA4129			PA0795			PA5302		PA1719
30	PA0511		PA1002	PA4132			PA1888			PA0494		PA4090
31	PA2109		PA4720	PA0588			PA0588			PA2831		PA2412
32	PA1183		PA0996	PA3451			PA1288			PA5445		PA3584
33	PA3188		PA0141	PA2572			PA3838			PA0434		PA1721
34	PA1514		PA1123	PA0999			PA0999			PA2367		PA2409
35	PA3365		PA0512	PA3038			PA4730			PA0781		PA2572
36	PA3452		PA2788	PA0997			PA3038			PA5536		PA0672
37	PA1633		PA3713	PA1217			PA0997			PA0433		PA3954
38	PA3179		PA4352	PA5169			PA1217			PA0524		PA1708
39	PA3873		PA0162	PA3871			PA3871			PA4835		PA5411
40	PA0495			PA1988			PA5046			PA5532		PA2468
41	PA0887			PA3330			PA1988			PA4431		PA2371
42	PA0525			PA4131			PA3330			PA4555		PA4470
43	PA0754			PA4739			PA0494			PA4705		PA4467
44	PA3875			PA5445			PA4400			PA0937		PA2174
45	PA5446			PA3877			PA4131			PA1927		PA5396
46	PA0523			PA2367			PA4739			PA4710		PA2393
47	PA2663			PA0572			PA5445			PA0872		PA2023
48	PA0493			PA4738			PA2367			PA0131		PA3409
49	PA3584			PA2679			PA0572			PA3561		PA1946
50	PA5530			PA1249			PA1340			PA3333		PA0119
51	PA0514			PA2365			PA2249			PA2236		PA3562
52	PA0755			PA1174			PA2014			PA1922		PA2633
53				PA5446			PA4738			PA3190		PA4935
54				PA1123			PA2679			PA0137		PA5271
55				PA3836			PA1249			PA3870		PA4514
56				PA3333			PA0514			PA3187		PA2232
57				PA4607			PA2000			PA5538		PA5500
58				PA4134			PA0131			PA1862		PA4708
59				PA5168			PA1123			PA5540		PA4880
60				PA1203			PA1256			PA4290		PA3410
61				PA3181			PA3333			PA5309		PA2410
62				PA1745			PA3836			PA0132		PA3471
63				PA3967			PA4607			PA0931		PA2302
64				PA4130			PA3465			PA3194		PA1302
65				PA0105			PA5168			PA1365		PA5506
66				PA1176			PA3328			PA5286		PA4515
67				PA1338			PA1203			PA4554		PA1800
68				PA1074			PA3190			PA4564		PA1714
69				PA1987			PA1745			PA1926		PA3581
70				PA1173			PA3187			PA0887		PA1728
71				PA0059			PA1074			PA0495		PA3553
72				PA1555			PA1338			PA5303		PA1912
73				PA4619			PA4703			PA4148		PA4369
74				PA2381			PA1987			PA0523		PA2033
75				PA3874			PA1173			PA5539		PA0325
76				PA0132			PA0132			PA0435		PA1176
77				PA4620			PA2001			PA2222		PA5490
78				PA0511			PA3874			PA5530		PA4190
79				PA0482			PA4619			PA3391		PA1246
80				PA0515			PA4620			PA1923		PA3874
81				PA4133			PA0328			PA2372		PA4430
82				PA3688			PA2247			PA5541		PA4324
83				PA4500			PA0511			PA4170		PA2247
84				PA3452			PA0482			PA3601		PA0515
85				PA3332			PA4133			PA4434		PA3688
86				PA3873			PA3688			PA3186		PA0518
87				PA0887			PA4500			PA4081		PA3899
88				PA0176			PA3332			PA2686		PA3332
89				PA3790			PA0713			PA1909		PA3811
90				PA3602			PA3873			PA4838		PA2383
91				PA1041			PA0887			PA1842		PA1707
92				PA1072			PA3790			PA5537		PA2445
93				PA4614			PA0896			PA4063		PA3743
94				PA1216			PA3602			PA4066		PA4614
95				PA1989			PA1041			PA5508		PA3477
96				PA0998			PA1072			PA5351		PA2250
97				PA4587			PA1216			PA1754		PA5509
98				PA3331			PA1341			PA3785		PA0730
99				PA1984			PA0512			PA4042		PA2359
100				PA2195			PA2554			PA0021		PA2034
101				PA1000			PA1989			PA3928		PA2554
102				PA2939			PA0998			PA2407		PA1887
103				PA1202			PA0794			PA2128		PA0046
104				PA2321			PA1071			PA3475		PA2303
105				PA1337			PA4587			PA0264		PA3930
106				PA1585			PA3331			PA4168		PA2780
107				PA2366			PA2443			PA3195		PA3341
108				PA1556			PA3326			PA0660		PA0153
109				PA2264			PA1984			PA1921		PA5298
110				PA2322			PA1000			PA4834		PA2408
111				PA4714			PA2939			PA4556		PA3450
112				PA0996			PA1202			PA4706		PA5120
113				PA0459			PA1245			PA2466		PA5017
114				PA4501			PA5415			PA0493		PA4571
115				PA1205			PA3478			PA2238		PA3199
116				PA0447			PA2747			PA4553		PA0870
117				PA2368			PA2444					PA0441
118				PA0291			PA0899					PA3656
119				PA1135			PA2081					PA1710
120				PA0514			PA3278					PA1202
121							PA1337					PA1852
122							PA4141					PA3478
123							PA1196					PA1902
124							PA1585					PA0209
125							PA0996					PA4821
126							PA5153					PA0206
127							PA0315					PA4551
128							PA0447					PA5546
129							PA0291					PA2366
130							PA0893					PA4358
131							PA0852					PA1556
132							PA0898					PA2375
133												PA3524
134												PA3530
135												PA2435
136												PA2323
137												PA2024
138												PA0996
139												PA2732
140												PA2411
141												PA1718
142												PA2305
143												PA3234
144												PA5217
145												PA3866
146												PA1287
147												PA1199
148												PA3182
149												PA1930
150												PA3841
151												PA4107
152												PA2771
153												PA4371
154												PA3912
155												PA2363
156												PA5049
157												PA1561
158												PA0789
159												PA0165
160												PA0386
161												PA3250
162												PA1119
163												PA4657
164												PA0910
165												PA0656
166												PA3443
167												PA2223
168												PA4702
169												PA0838
170												PA0316
171												PA4552
172												PA2659
173												PA3621
174												PA3192
175												PA2451
176												PA2402
177												PA2406
178												PA2385
179												PA0075
180												PA2329
181												PA1911
182												PA3451
183												PA2382
184												PA2360
185												PA0655
186												PA3784
187												PA4881
188												PA0201
189												PA2030
190												PA2388
191												PA0135
192												PA3038
193												PA2594
194												PA4923
195												PA1602
196												PA3914
197												PA2396
198												PA5468
199												PA2069
200												PA4131
201												PA0612
202												PA0513
203												PA3877
204												PA5499
205												PA2436
206												PA5442
207												PA2249
208												PA1557
209												PA2427
210												PA4198
211												PA0283
212												PA4228
213												PA4359
214												PA1249
215												PA5373
216												PA0970
217												PA1769
218												PA2482
219												PA5304
220												PA2404
221												PA4671
222												PA0526
223												PA2000
224												PA2937
225												PA1300
226												PA1837
227												PA5387
228												PA2248
229												PA5397
230												PA3922
231												PA5531
232												PA3880
233												PA4986
234												PA4134
235												PA3328
236												PA5510
237												PA4817
238												PA3622
239												PA3446
240												PA1772
241												PA2424
242												PA5355
243												PA0087
244												PA1518
245												PA2381
246												PA4896
247												PA4139
248												PA1051
249												PA0936
250												PA4366
251												PA2390
252												PA3814
253												PA1871
254												PA4502
255												PA2452
256												PA2609
257												PA0998
258												PA4026
259												PA5201
260												PA0044
261												PA5230
262												PA2757
263												PA1301
264												PA5436
265												PA2405
266												PA1984
267												PA1000
268												PA2531
269												PA1106
270												PA5415
271												PA4867
272												PA2444
273												PA3876
274												PA5220
275												PA1787
276												PA5141
277												PA4141
278												PA0024
279												PA1585
280												PA3554
281												PA3441
282												PA5352
283												PA0519
284												PA3418
285												PA5346
286												PA4781
287												PA5194
288												PA1151
289												PA3924
290												PA2446
291												PA3900
292												PA4249
293												PA0205
294												PA2391
295												PA1894
296												PA0514
297												PA3913
298												PA2851
299												PA1137
300												PA3872
301												PA2235
302												PA2467
303												PA0215
304												PA0587
305												PA2265
306												PA0871
307												PA1999
308												PA4812
309												PA4709
310												PA1733
311												PA4674
312												PA4504
313												PA4761
314												PA1581
315												PA1175
316												PA0807
317												PA1869
318												PA4468
319												PA4236
320												PA2369
321												PA0525
322												PA0743
323												PA3444
324												PA4129
325												PA4550
326												PA4469
327												PA0588
328												PA2330
329												PA0999
330												PA3791
331												PA1828
332												PA3923
333												PA2816
334												PA3258
335												PA3142
336												PA2624
337												PA5169
338												PA4868
339												PA3330
340												PA4452
341												PA0509
342												PA4317
343												PA2398
344												PA5374
345												PA3885
346												PA0572
347												PA2062
348												PA2014
349												PA2400
350												PA0152
351												PA2399
352												PA2365
353												PA3262
354												PA1903
355												PA3655
356												PA0579
357												PA0082
358												PA1901
359												PA1123
360												PA0792
361												PA0277
362												PA4607
363												PA3937
364												PA3661
365												PA3442
366												PA4471
367												PA0091
368												PA1517
369												PA3566
370												PA1745
371												PA3181
372												PA2242
373												PA3716
374												PA2266
375												PA2304
376												PA4703
377												PA5100
378												PA4171
379												PA3906
380												PA4687
381												PA2605
382												PA4296
383												PA5482
384												PA4620
385												PA0654
386												PA0511
387												PA4221
388												PA2331
389												PA4306
390												PA2699
391												PA2912
392												PA1761
393												PA2764
394												PA0783
395												PA4707
396												PA1041
397												PA5180
398												PA0122
399												PA3233
400												PA3692
401												PA0512
402												PA0164
403												PA3394
404												PA4373
405												PA0033
406												PA0154
407												PA2384
408												PA4587
409												PA0867
410												PA3929
411												PA3641
412												PA4433
413												PA3326
414												PA2621
415												PA3399
416												PA2370
417												PA2425
418												PA2016
419												PA1245
420												PA0929
421												PA5150
422												PA5152
423												PA4933
424												PA2797
425												PA2112
426												PA1706
427												PA5235
428												PA2397
429												PA2386
430												PA2916
431												PA2799
432												PA5300
433												PA4523
434												PA4934
435												PA1601
436												PA0797
437												PA0534
438												PA1130
439												PA0445
440												PA3531
441												PA3361
442												PA2401
443												PA0238
444												PA1177
445												PA4501
446												PA1554
447												PA2746
448												PA4372
449												PA3334
450												PA4333
451												PA3724
452												PA3329
453												PA3049
454												PA0245
455												PA4227
456												PA0284
457												PA4104
458												PA5410
459												PA4810
460												PA2009
461												PA5058
462												PA0471
463												PA3938
464												PA3723
465												PA0129
466												PA0865
467												PA1001
468												PA4370
469												PA5375
470												PA0959
471												PA4811
472												PA2730
473												PA2362
474												PA4015
475												PA3468
476												PA1888
477												PA4274
478												PA2788
479												PA2328
480												PA1596
481												PA0162
482												PA2389
483												PA4217
484												PA1722
485												PA2182
486												PA4973
487												PA5416
488												PA2573
489												PA0565
490												PA3871
491												PA1861
492												PA5406
493												PA1753
494												PA0444
495												PA2008
496												PA0586
497												PA0114
498												PA5288
499												PA0516
500												PA1228
501												PA3986
502												PA2426
503												PA4175
504												PA0086
505												PA4220
506												PA3143
507												PA1939
508												PA0472
509												PA3268
510												PA1709
511												PA5570
512												PA2953
513												PA3327
514												PA0160
515												PA3911
516												PA5183
517												PA0529
518												PA2413
519												PA1720
520												PA1244
521												PA3235
522												PA1905
523												PA2015
524												PA4211
525												PA4038
526												PA2911
527												PA3018
528												PA4130
529												PA3476
530												PA4843
531												PA0492
532												PA0517
533												PA2591
534												PA0782
535												PA4209
536												PA1864
537												PA0758
538												PA0482
539												PA0866
540												PA0188
541												PA1711
542												PA4500
543												PA1514
544												PA1712
545												PA1189
546												PA2300
547												PA2566
548												PA0713
549												PA3873
550												PA3336
551												PA3790
552												PA4231
553												PA0775
554												PA2604
555												PA5507
556												PA4675
557												PA2403
558												PA0918
559												PA0794
560												PA0443
561												PA0755
562												PA2392
563												PA2237
564												PA3331
565												PA0326
566												PA1904
567												PA1372
568												PA2939
569												PA2618
570												PA1775
571												PA3189
572												PA4230
573												PA5407
574												PA3445
575												PA3348
576												PA3842
577												PA5117
578												PA2395
579												PA3188
580												PA2504
581												PA1944
582												PA3123
583												PA4570
584												PA3931
585												PA1002
586												PA1003
587												PA4723
588												PA3193
589												PA2394
590												PA2368
591												PA1230
592												PA4898
593												PA1135
